question,document
Where can I find the course lectures or video lessons?,31456f4b5f
Is there a main page or repo I should open first for the videos?,31456f4b5f
How do I locate the lesson videos in the course materials?,31456f4b5f
Do the lesson pages include links to the relevant videos?,31456f4b5f
Should I use the GitHub repo or the YouTube playlist to find the latest lectures?,31456f4b5f
"Where do I check the LLM Zoomcamp syllabus, homework deadlines, and my progress all in one place?",20c5a1347e
Is there a course platform for LLM Zoomcamp where I can follow the cohort structure and see upcoming deadlines?,20c5a1347e
How can I track my progress and homework for the current LLM Zoomcamp cohort?,20c5a1347e
What site should I use to stay updated on the LLM Zoomcamp syllabus and deadlines?,20c5a1347e
Does LLM Zoomcamp have a management platform like the other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get live sessions for every module, or is the course mostly pre-recorded?",d65e05bd7a
"If I’m stuck on a lesson, where should I ask for help during the course?",d65e05bd7a
"How are live sessions announced in this course, and do they happen regularly?",d65e05bd7a
Is there any way to get extra support or office hours besides the free course material?,d65e05bd7a
"What is AI Shipping Labs, and is it part of the free LLM Zoomcamp course?",d65e05bd7a
Can I count Bluesky posts toward my learning in public credits?,dbf5369006
Are Bluesky updates accepted as learning in public credit evidence?,dbf5369006
Does posting on Bluesky qualify for the course's learning in public credits?,dbf5369006
Can I get learning in public credit for sharing progress on Bluesky?,dbf5369006
Is Bluesky one of the platforms that works for learning in public credits?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Can you share the LLM Zoomcamp Telegram link?,054f3fd58f
Where do I find the Telegram group for course announcements?,054f3fd58f
Is there a Telegram channel I should join for LLM Zoomcamp updates?,054f3fd58f
What Telegram channel does LLM Zoomcamp use for announcements?,054f3fd58f
Why does the FAQ doc count in my notebook not match what I see in the video?,e2d595f23c
Is it normal if my RAG answers are different from the course recording?,e2d595f23c
Did the FAQ dataset change after the videos were made?,e2d595f23c
How can I get the same results as the lecture when the data seems different?,e2d595f23c
"Does a different index mean my implementation is broken, or could it just be a newer FAQ snapshot?",e2d595f23c
Can I still turn in homework if the deadline already passed but the form is still open?,a9353fadfe
The submission page is open after the due date — does that mean I can still send my answers?,a9353fadfe
Is it okay to submit the assignment late as long as the homework form hasn’t been closed yet?,a9353fadfe
"If the deadline is over but the form still works, am I allowed to submit my homework?",a9353fadfe
When does homework submission actually stop — at the deadline or only when the form gets closed?,a9353fadfe
Can I still turn in homework after the deadline has passed if the submission form is open?,cdc3b285e5
Do you ever give individual deadline extensions for homework in this course?,cdc3b285e5
What happens if I miss a homework assignment — does it block me from getting the certificate?,cdc3b285e5
Are late homework submissions accepted once the form is closed?,cdc3b285e5
"Do homework scores matter for the certificate, or are they just for the leaderboard?",cdc3b285e5
"Is the name I type for the certificate kept private, or can other people see it online?",651ba06b34
"Does the certificate name get shared with anyone else, or is it only used on the final certificate?",651ba06b34
What name shows up on the public leaderboard if I enter my real name for the certificate?,651ba06b34
"In Edit Course Profile, which field controls the leaderboard nickname and which one is printed on the certificate?",651ba06b34
Can I use an anonymous display name publicly and still have my real name on the certificate?,651ba06b34
Will the course certificate include the total number of hours completed?,5cc511f85b
Does the certificate mention how many hours the course took?,5cc511f85b
Is there any hours count shown on the course certificate?,5cc511f85b
Can I see the number of course hours on the certificate?,5cc511f85b
Do they print the total course hours on the certificate or not?,5cc511f85b
"Why don’t we use LangChain in this course, and why do we build everything ourselves first?",b7cdde6b25
"Is there a reason the course starts with prompting, retrieval, indexing, and evaluation instead of a framework?",b7cdde6b25
What’s the benefit of learning the basic RAG pieces before using LangChain or another LLM framework?,b7cdde6b25
"Are we avoiding LangChain completely, or just using it later after the fundamentals?",b7cdde6b25
Why is it important to understand the core LLM app components before relying on a framework like LangChain?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
"What does the OpenAI error ""Insufficient credits"" mean in responses.create?",f5df151c59
How can I fix the credit-related error I see when using OpenAI responses.create?,f5df151c59
Why does responses.create fail even though my code looks correct?,f5df151c59
Is the OpenAI responses.create command failing because my account has no credits left?,f5df151c59
"Why am I getting a 429 RateLimitError from OpenAI, and how do I fix it?",152af39a53
What does 'insufficient_quota' mean in an OpenAI API error?,152af39a53
Do I need to add money to my OpenAI account before using the API?,152af39a53
"After paying for OpenAI, do I need to make a new API key?",152af39a53
How do I choose a model in `responses.create(...)` that actually works with my account?,152af39a53
How much does it usually cost to use the OpenAI API for this course?,554d0eb78b
Do I need to spend a lot of money to start using the OpenAI API?,554d0eb78b
"What’s the minimum amount I can top up on OpenAI, and is that enough for the course?",554d0eb78b
Will I need more than a few cents of credit to follow the OpenAI API exercises?,554d0eb78b
How expensive is OpenAI API usage in practice for the course assignments?,554d0eb78b
Do I need an OpenAI API subscription to finish the course homework?,85384a18e5
Can I complete the assignments without paying for OpenAI's API?,85384a18e5
Are there free or cheap alternatives to OpenAI API for this course?,85384a18e5
Where can I find a list of OpenAI API alternatives for the course?,85384a18e5
"Is OpenAI API required, or can I use another LLM service instead?",85384a18e5
Why are we using uv in the course instead of pip and virtualenv?,f81dea8f7e
What makes uv better or easier than the usual Python setup tools?,f81dea8f7e
"Do I have to switch to uv, or can I keep using pip and virtualenv?",f81dea8f7e
"How does uv replace tools like pip, virtualenv, poetry, and pyenv?",f81dea8f7e
"Why did the lessons choose uv for managing Python versions, environments, and dependencies?",f81dea8f7e
Why does my Jupyter notebook say OPENAI_API_KEY is missing even though I put it in a .env file?,86d99bbf21
Do I need python-dotenv for OPENAI_API_KEY to work in the notebook?,86d99bbf21
How do I load my .env file before creating the OpenAI client in Jupyter?,86d99bbf21
What should I install if the API key from .env is not getting picked up?,86d99bbf21
Could the issue be that my env variable name is wrong instead of OPENAI_API_KEY?,86d99bbf21
How do I keep my API keys in a .env file and read them in Python with python-dotenv?,233dabe430
What’s the best way to load OPENAI_API_KEY and other keys from .env in this course?,233dabe430
Do I need to put .env in .gitignore when storing API keys?,233dabe430
How can I access GROQ_API_KEY or GEMINI_API_KEY from environment variables in my script?,233dabe430
What pip package do I need to use load_dotenv() for reading secrets from .env?,233dabe430
Can I do the homework with a different LLM provider instead of the one suggested?,ee43413718
"Is the recommended model in the assignment actually required, or just an option?",ee43413718
"Would it be okay to use Gemini, Groq, Azure OpenAI, or a local model for this task?",ee43413718
"Do I need a paid API to finish the homework, or can I avoid that?",ee43413718
"If I switch providers, what parts of the code might I need to change?",ee43413718
What do I need to set up in `.env` before I can use Gemini in the Module 1 notebook?,0ae5c221b9
How do I create an OpenAI client that points to Google Gemini’s OpenAI-style endpoint?,0ae5c221b9
What does the `llm()` helper look like for calling a Gemini model from the notebook?,0ae5c221b9
Do I need to pass the Gemini model name explicitly when making the request?,0ae5c221b9
Why does the course notebook need changes if I use the chat completions endpoint instead of the Responses API?,0ae5c221b9
How do I get a Pydantic object back from Gemini when the Responses API isn’t supported through the OpenAI-compatible endpoint?,341f71f28c
What’s the easiest way to use the OpenAI SDK to parse structured output from Gemini without doing JSON parsing myself?,341f71f28c
Can I call Gemini with `chat.completions.parse` and still get a typed model like `Questions` out of it?,341f71f28c
"If `responses.parse` doesn’t work, which OpenAI SDK method should I use for structured output on Gemini?",341f71f28c
How do I define a Pydantic schema and pass it to Gemini so I can read `response.choices[0].message.parsed` directly?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
"After installing Ollama, what command should I run to get the local model working?",1d0b969028
How can I check if the Ollama server is running on my machine?,1d0b969028
What do I need to install in Python to use Ollama from code?,1d0b969028
Can you show a simple Python example for chatting with llama3 through Ollama?,1d0b969028
Why do I get a connection refused error when I try to prompt my Ollama RAG setup?,c6fc2d4d11
How can I fix the Ollama server if the homework gives me a connection refused issue?,c6fc2d4d11
Do I need to restart Ollama with a command in the notebook when the RAG prompt stops working?,c6fc2d4d11
What should I run again after stopping and restarting the cell that starts ollama serve?,c6fc2d4d11
Is there a quick way to bring back the Ollama server if my RAG notebook cannot connect?,c6fc2d4d11
Why does my `tiktoken` count not match the token number OpenAI shows in the API?,bf0403d21b
Is it normal for OpenAI to report a few more tokens than `tiktoken.encode()` gives me?,bf0403d21b
What extra tokens does Chat Completions add behind the scenes?,bf0403d21b
"Could spaces, newlines, or weird Unicode make the token count higher than expected?",bf0403d21b
Why do I get something like 320 tokens locally but 327 from OpenAI?,bf0403d21b
How can I keep my API key loaded automatically in a project instead of re-exporting it in every new terminal?,8b2f5e9d04
Is there a tool that works with both .env and .envrc for loading environment variables across different shells?,8b2f5e9d04
What should I put in my shell startup file so the key gets picked up when I cd into a folder?,8b2f5e9d04
How do I set up secrets properly in GitHub Codespaces without storing them in the repo?,8b2f5e9d04
"For Python scripts, what’s the easiest way to load a .env file from the project root?",8b2f5e9d04
How do I figure out good field weights for minsearch or a similar search engine?,87d4ea4e08
What's the best way to tune search field weights instead of just guessing?,87d4ea4e08
"Should I use trial and error for field weights, or is there a more systematic method?",87d4ea4e08
How can I test different field-weight settings against real queries to know which one is better?,87d4ea4e08
What metrics should I look at when comparing different field weights for retrieval?,87d4ea4e08
What should I clean out of my documents before using them for RAG?,649c280e6d
"Do I need to keep things like titles, dates, or page numbers when preparing data for RAG?",649c280e6d
"Is JSON required for storing documents before chunking, or can I use something else?",649c280e6d
How should I split my docs so the chunks still keep enough context for retrieval?,649c280e6d
What kind of metadata is actually useful to save for later filtering or ranking in RAG?,649c280e6d
"I keep seeing ""Failed to hardlink files"" in GitHub Codespaces when I use uv — does that mean something is broken, or can I ignore it?",acf8fa5356
"If uv can’t hardlink packages in Codespaces, will the install still work or does it stop halfway?",acf8fa5356
How can I get rid of the uv hardlink warning for just the current terminal session?,acf8fa5356
What’s the easiest way to make uv use copy mode every time I open a new shell in Codespaces?,acf8fa5356
Is there any official uv docs page that explains why this hardlink message appears and what it means?,acf8fa5356
My terminal says dotenv is not recognized — what package do I need to install?,0bed1f48da
Which Python library should I add if load_dotenv is missing?,0bed1f48da
How can I fix the error when dotenv isn't found in my project?,0bed1f48da
What is the uv command to install the dotenv package?,0bed1f48da
"After installing dotenv, how do I load environment variables in Python?",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required for the module, or can I set things up locally?",aa310de435
What do I need installed if I want to run the course on my laptop?,aa310de435
Why does the course recommend Codespaces if I can use a local setup?,aa310de435
"If I use a local environment, do I need to keep notes so others can reproduce it?",aa310de435
"If I just leave my code in GitHub Codespaces and don’t commit, will it still be there or can it disappear later?",610ccb23c0
"Does saving files in Codespaces automatically protect my work, or do I still need to commit to GitHub?",610ccb23c0
"Where does my code actually live while I’m working in Codespaces, and what happens if the workspace gets stopped or deleted?",610ccb23c0
"Is it safe to rely on Codespaces alone for storing my changes, or should I keep committing as I go?",610ccb23c0
"If Codespaces disconnects or shuts down, do I lose uncommitted code that was only inside the Linux VM?",610ccb23c0
Why does WSL2 say the model needs more memory than available even though my PC has enough RAM?,f3dd94f323
How do I make WSL2 use more RAM on Windows?,f3dd94f323
Where should I put a .wslconfig file to change WSL2 memory limits?,f3dd94f323
What should I write in .wslconfig to give WSL2 8GB of memory?,f3dd94f323
"After changing WSL2 memory settings, how can I restart it and check that the new RAM limit worked?",f3dd94f323
"Why does my GitHub Codespace get stuck on Finishing up, and what can I try to get it to reconnect?",830f3d2018
"If my codespace refuses to open in VS Code desktop, is there another way to launch it?",830f3d2018
Why did my files or installed tools disappear after a rebuild or new codespace?,830f3d2018
"Do I need to worry about losing work when I stop and start a Codespace, or only when I delete it?",830f3d2018
"If GitHub Codespaces keeps acting weird for this course, can I just do everything locally instead?",830f3d2018
"Can I swap OpenAI for another LLM provider in this course, or is it required to use OpenAI only?",c6ff9083c0
"If a provider is blocked where I live, what are my options for running the course labs?",c6ff9083c0
Which services work with the course code if they have an OpenAI-style endpoint?,c6ff9083c0
Can I use a local model runner like Ollama or vLLM instead of calling an external API?,c6ff9083c0
Where can I find a list of good OpenAI alternatives or local model tools for this course?,c6ff9083c0
How can I stop getting 429 rate limit errors when my notebook loops over lots of docs?,8e21752415
What’s the easiest way to make OpenAI retries handle temporary 429s instead of failing my run?,8e21752415
"Should I keep my worker pool small to avoid per-minute API caps, and how small is safe?",8e21752415
How do I cache embeddings or LLM outputs so rerunning the notebook doesn’t hit the API again?,8e21752415
Is there a cheaper model or free provider I can use for this course to avoid rate limit problems?,8e21752415
How do I look at the full response from a different LLM API to figure out where the tool calls are?,4a2c64c6e7
What’s the easiest way to inspect a Pydantic response object and see token usage fields?,4a2c64c6e7
"In a notebook, how can I display an API response as a JSON tree instead of plain text?",4a2c64c6e7
"If I’m using another provider’s SDK, how do I find the generated text and usage numbers in the response?",4a2c64c6e7
How do I change the course code so it reads the right fields when the API doesn’t use OpenAI-style names?,4a2c64c6e7
"Why does uv keep activating the old .venv from another project, and how do I switch it to the right one?",91675fa206
I have multiple project folders with their own virtual environments—what’s the quickest way to stop uv from using the wrong one?,91675fa206
How can I check whether my shell is still pointing at a previous virtual environment before running uv?,91675fa206
What should I do if I want uv to create and use the .venv inside the current project directory instead of an older one?,91675fa206
"After changing folders, how do I make sure Python is actually coming from the project’s own virtual environment?",91675fa206
Why does my Jupyter notebook in GitHub Codespaces say a package is missing even though I installed it in the terminal?,74486f4c87
How can I check which Python interpreter my notebook kernel is using in Codespaces?,74486f4c87
"If `uv pip list` shows the package but the notebook still can’t import it, what should I change?",74486f4c87
Where do I switch the notebook to use the repo’s `.venv` instead of some other environment?,74486f4c87
Do I need to restart the kernel after picking a different environment in Jupyter?,74486f4c87
"Why am I getting `GroqError` or `model_decommissioned` suddenly, and what model should I switch to now?",b391cb9b0b
"Is `llama-3.3-70b-versatile` still usable on Groq, or was it retired?",b391cb9b0b
"My Groq code used `reasoning_effort=""none""` before — what is the Responses API version of that now?",b391cb9b0b
"What does Groq accept for `reasoning.effort` with `openai/gpt-oss-120b`, and why does `none` fail?",b391cb9b0b
Where can I check which Groq models and reasoning settings are still supported?,b391cb9b0b
What exactly counts as a tool or function in agentic RAG?,c296ea5a21
"Are tools and functions different in this course, or basically the same thing?",c296ea5a21
When does the model decide to call a tool instead of answering directly?,c296ea5a21
"Can a tool/function be used for things like database queries, API calls, or calculations?",c296ea5a21
How is tool use in agentic RAG different from the fixed retrieval step in basic RAG?,c296ea5a21
"Which free models can I use for tool calling in Groq, like Deepseek R1 or Llama 4?",0d74a3616f
Do Groq models support tool use for development without paying?,0d74a3616f
"Besides Groq, what other providers support function calling or tools?",0d74a3616f
"If I switch from OpenAI to Mistral, Gemini, or Ollama, do I need to change the code?",0d74a3616f
Where can I find the Groq docs for tool use and supported schemas?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call the Responses API with Mistral or Groq?,9e7b3f0c25
"Can I use `client.responses.create(...)` with Gemini or other non-OpenAI models, or is that only for OpenAI?",9e7b3f0c25
What should I read from the response if I switch from Responses API to chat completions on a non-OpenAI provider?,9e7b3f0c25
How do I rewrite my code to work with `chat.completions.create(...)` instead of `response.output`?,9e7b3f0c25
Do I need to change my tools schema when using chat completions with another provider?,9e7b3f0c25
How should I define the weather tool JSON for Azure OpenAI so it stops complaining about a missing tools[0].function field?,b9c7c6bb34
What exact structure do I need for get_weather_tool when using Azure OpenAI function calling?,b9c7c6bb34
My Azure OpenAI request says Missing required parameter: tools[0].function — what should the tool object look like?,b9c7c6bb34
Can you show the correct JSON format for a get_weather function tool in Azure OpenAI?,b9c7c6bb34
"Why am I getting a 400 error about tools[0].function, and what’s the fixed get_weather_tool definition?",b9c7c6bb34
"Why do I get a 404 in toyaikit when I try Groq or another non-OpenAI provider, and what should I use instead?",0224d980b3
How can I make toyaikit work with Groq if I don’t want to use OpenAI’s Responses endpoint?,0224d980b3
Is there a different runner/client setup I should use for Anthropic with toyaikit?,0224d980b3
What’s the right way to configure toyaikit for OpenAI-compatible providers like Groq?,0224d980b3
"Can I run toyaikit with a model like Claude or Llama, and what classes do I need to switch to?",0224d980b3
How can I change the Lesson 14 handwritten agent loop to work with a provider that only has an OpenAI-style chat.completions endpoint and tool calls?,8ecd1e8262
"What do I need to replace when moving from Responses API to Chat Completions in the agent loop, especially for tool calling and messages?",8ecd1e8262
How should I read tool requests from the assistant reply when using chat completions instead of response.output?,8ecd1e8262
"Can I use a system message and role=tool messages with an OpenAI-compatible endpoint, and how do I attach the tool_call_id?",8ecd1e8262
What is the simplest pattern for looping until the model stops asking for tools when using a non-OpenAI model through an OpenAI-compatible API?,8ecd1e8262
Where do I find the Module 1 homework questions for the 2026 cohort?,53f15299b6
"Is the homework for this module posted on GitHub, or only on the course platform?",53f15299b6
Which link should I open if I want the Module 1 homework instructions and extra context?,53f15299b6
"Do I need to check the course management platform too, or is the repo enough for homework?",53f15299b6
What’s the best place to look for submission info and deadlines for this homework?,53f15299b6
Why am I getting an empty list back after filtering my query in homework Q3?,83da208a64
Could this be caused by a mistake while indexing the data in Module 1 homework?,83da208a64
Do I need to set the index settings before I load the documents into the index?,83da208a64
"My filters and query seem fine, but I still get no results — what am I missing?",83da208a64
What's the usual fix when a search returns nothing after I apply filters in this homework?,83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create, and how do I fix it?",cfb07a27d5
"Do I need to set max_output_tokens in responses.create() for OpenRouter, and what value should I use?",cfb07a27d5
"In the Module 1 rag_helper.py homework, where should I add the output token limit to stop the 402 error?",cfb07a27d5
How do I pass max_output_tokens when using ToyAIKit OpenAIClient in homework Q6?,cfb07a27d5
What should I check in my .env and OpenRouter setup if the 402 error keeps happening even after lowering max_output_tokens?,cfb07a27d5
"In the Module 1 homework, does pointing RAG at the chunk index mean I should search over the split pieces instead of the full docs?",b4300adeb1
"If my data is in both `documents` and `chunks`, which one should I pass to `index.fit()` for RAG?",b4300adeb1
Why do we use chunked documents in the index instead of the original documents when building the RAG pipeline?,b4300adeb1
"When the homework says to point RAG at the chunk index, does that mean only the retrieved chunks get added to the prompt?",b4300adeb1
What changes in the retrieval step if I fit the index on `chunks` rather than on `documents`?,b4300adeb1
"For module 1 homework, do my answers have to match the choices exactly, or is being close enough?",5e4ca64cb5
"If my numeric result is a little different from every option, should I still pick the nearest one?",5e4ca64cb5
What usually causes small mismatches between my homework answer and the listed options?,5e4ca64cb5
When should I worry that my homework answer is really wrong instead of just a rounding difference?,5e4ca64cb5
Is there any official homework guidance on how to choose an option when my number is close but not exact?,5e4ca64cb5
Where should I look first if the homework wording is confusing — the course page or the GitHub instructions?,7d3a2e3505
"For Module 1 in the 2026 cohort, what links do I need to check before starting the homework?",7d3a2e3505
"Why does the homework sometimes feel different from the lesson, even when it uses the same idea?",7d3a2e3505
"If I still don’t understand the homework after reading the instructions, what’s the best way to ask for help in Slack?",7d3a2e3505
"When I ask a homework question, should I send a screenshot or paste the code/command output as text?",7d3a2e3505
How can I check the token count for Module 1 homework when I'm not using OpenAI?,fe8fed31e6
"If my model provider is different, where should I look for the token usage number in the response?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, or Groq in the homework?",fe8fed31e6
What should I do if my API response doesn't include any token usage info at all?,fe8fed31e6
"For the multiple-choice part of the homework, what should I pick if the token count is only an estimate?",fe8fed31e6
Why does my homework link get rejected with a non-200 response like 500 or 404?,bcdb8740ce
What should I check if the grader can’t open my GitHub repo URL?,bcdb8740ce
Do I need to make the repo public for the submission checker to access it?,bcdb8740ce
Should I submit the GitHub URL with or without the .git at the end?,bcdb8740ce
How can I quickly test whether my repo link is reachable by the checker?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people convert text or other non-numerical data into numbers?",69430a79a8
How do embeddings keep the meaning and context of the original data when they turn it into numerical form?,69430a79a8
"If two pieces of text are similar, should their embeddings also be similar, and how does that help compare them mathematically?",69430a79a8
"What does it mean that embeddings live in a vector space model, and how is that useful for semantic similarity?",69430a79a8
"Is dimensionality reduction related to embeddings, and if so, how does it connect to representing data with fewer numbers?",69430a79a8
How can I get rid of the warning about multi-qa-mpnet-base-dot-v1 being made on sentence-transformers v3.0.0 beta?,aa3f597424
What should I install to suppress the sentence-transformers version warning in this vector search setup?,aa3f597424
Is there a quick fix for the model warning that says it was made on sentence-transformers 3.0.0?,aa3f597424
Do I need to upgrade sentence-transformers to stop the multi-qa-mpnet-base-dot-v1 warning?,aa3f597424
What command should I run so the sentence-transformers beta version warning disappears?,aa3f597424
"Why did the lesson use dot product directly for cosine similarity, but the homework makes us normalize the vectors first?",92cd22cada
Is `.dot(...)` really the same as cosine similarity when the embeddings are already unit length?,92cd22cada
Why can’t we just use the raw dot product with TF-IDF plus SVD embeddings in the homework?,92cd22cada
What’s the difference between normalized embeddings and non-normalized ones when calculating similarity?,92cd22cada
"In the lesson the model output was treated as normalized, so why is extra normalization needed in the homework?",92cd22cada
"Should I vectorize the question text, the answer text, or both when building search embeddings?",5c4a8d2e60
"For document search, is it better to embed only the answer or only the question?",5c4a8d2e60
What’s the difference between embedding `text` alone and embedding `question + text` for retrieval?,5c4a8d2e60
How do I decide which embedding strategy gives the best hit rate or MRR on my dataset?,5c4a8d2e60
"Does combining question and answer in one embedding usually improve vector search results, or is it just more expensive?",5c4a8d2e60
How do you define cosine similarity in vector search?,db78580409
Why is cosine similarity useful for comparing documents in text analysis?,db78580409
What does the angle between two vectors tell us in cosine similarity?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Can cosine similarity be used with word count vectors or TF-IDF vectors?,db78580409
Why does cosine similarity turn into a dot product when vectors are normalized?,95feb4e75b
How can we use matrix multiplication to compute cosine similarity for embeddings?,95feb4e75b
Does normalizing embeddings change the result of cosine similarity?,95feb4e75b
Why is cosine similarity faster to calculate with unit-length vectors?,95feb4e75b
"In vector search, why can I compare a query against all document embeddings with one matrix multiply?",95feb4e75b
"For Module 2, do I actually need to make a new GitHub repo, or is creating another codespace enough?",1e829a8c6f
Why should I use a separate codespace for the vector search module instead of keeping everything in the same one?,1e829a8c6f
"If I already have my course repo, can I just open Module 2 in a fresh codespace from that same repo?",1e829a8c6f
What’s the reason for isolating the Module 2 environment — is it because the dependencies are too heavy?,1e829a8c6f
"Since I might delete the Module 2 codespace later, do I need to commit my changes somewhere first?",1e829a8c6f
Why is download.py stuck at 0% when it tries to fetch model.onnx from Hugging Face?,29b69fbe0b
Is there a way to get the ONNX file without waiting for the script to finish downloading?,29b69fbe0b
What should I do if the model download from Hugging Face seems blocked or super slow?,29b69fbe0b
Can I place model.onnx manually somewhere so download.py won’t try to fetch it again?,29b69fbe0b
"Once I save model.onnx locally, will the download script detect it and skip the download?",29b69fbe0b
"Why do the matrix-dot and for-loop vector search outputs not match exactly, even though they should be the same math?",e889793af9
"Is it normal if `np.allclose(scores, scores_loop)` returns false when I compare vector search scores from `X.dot(v_query)` and a loop?",e889793af9
What causes tiny differences between BLAS-based dot product results and a manual Python loop in vector search?,e889793af9
How should I compare two vector search score arrays if the values only differ in the last few decimals?,e889793af9
"Does the order of floating-point additions affect vector search results, and is there a recommended tolerance to use?",e889793af9
Why am I getting an IndexError list index out of range when I try to access the best chunk in my vector search code?,1a7b27c4df
What usually causes list index out of range when picking the top chunk from embeddings?,1a7b27c4df
How do I make sure the embedding rows match the number of chunks so I don't get this error?,1a7b27c4df
Should I build embeddings from the chunk list directly instead of something else to avoid mismatched lengths?,1a7b27c4df
"My best chunk lookup crashes with IndexError, what should I check in my chunks and embeddings setup?",1a7b27c4df
Why can FastEmbed still try to hit Hugging Face if the model is already in cache?,6609b934b6
How do I load a FastEmbed model fully offline without getting SSL or network errors?,6609b934b6
Do I need to mount the same cache folder into my container for FastEmbed to work?,6609b934b6
"What is the difference between using `cache_dir`, `local_files_only`, and `specific_model_path` in FastEmbed?",6609b934b6
Can an incomplete Hugging Face cache make FastEmbed fall back to the network again?,6609b934b6
"For Module 2 Homework Q2, why is my cosine similarity value not matching any of the listed answers?",eaa17a9dc6
Do I need to use the `Embedder` from `embedder.py` for homework 2 instead of `sentence-transformers`?,eaa17a9dc6
What usually causes the Q2 cosine similarity in Module 2 to come out wrong or off the options?,eaa17a9dc6
"Am I supposed to embed the page `content` field, or am I accidentally using the wrong text for Q2?",eaa17a9dc6
"If my cosine similarity is a little different from the choices, should I just choose the nearest option?",eaa17a9dc6
How do I set up Gemini API keys for Kestra so the flows can use them?,3860e5fe8b
"Do I need both a normal API key and a SECRET_ version for Gemini, and why?",3860e5fe8b
What’s the right way to add OpenAI and Tavily keys for the Kestra module?,3860e5fe8b
"After exporting the env vars, do I have to restart Kestra or will it detect them automatically?",3860e5fe8b
"Inside a Kestra flow, how do I reference a secret if the env var name starts with SECRET_?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only assist with creating Kestra flows, and what am I missing in my setup?",04440cab11
Do I need to set a different Gemini env var for the Copilot than the one used by the flows?,04440cab11
How do I properly export the Gemini API key so the Kestra Copilot actually works after restart?,04440cab11
What should I check if the Copilot still refuses to answer even after I set the API key?,04440cab11
